	term	in_umls	rank
0	sss	1	1.8571
1	xbt	0	1.8333
2	ice	1	1.8
3	products	1	1.6342
4	carbon	1	1.6
5	respect	1	1.6
6	velocities	1	1.6
7	time series	1	1.5288
8	atlantic	0	1.527
9	fields	0	1.527
10	atlantic sss	0	1.5204
11	delayed mode	0	1.5204
12	grid box	0	1.5204
13	polar fronts	0	1.5204
14	1000-m	0	1.5
15	december	0	1.5
16	density	1	1.5
17	deviations	0	1.5
18	freeboard	0	1.5
19	tsg	1	1.5
20	series	1	1.4471
21	product	1	1.4132
22	time	1	1.3569
23	sea level	0	1.3564
24	southern ocean	0	1.3564
25	ice camp	0	1.3497
26	box	1	1.3333
27	cyber	0	1.3333
28	fronts	1	1.3333
29	isas	0	1.3333
30	isas-sss	0	1.3333
31	lefe	0	1.3333
32	mode	1	1.3333
33	pigments	1	1.3333
34	scale	1	1.3333
35	longitude	1	1.3209
36	land-sea contamination	0	1.2662
37	latitudinal bias	0	1.2662
38	multimission altimeter	0	1.2662
39	program	1	1.252
40	southern	1	1.2519
41	altimeter products	0	1.2263
42	amsr-e microwave	0	1.2263
43	current characteristics	0	1.2263
44	daily files	0	1.2263
45	drifter trajectories	0	1.2263
46	global climatology	0	1.2263
47	intermediate product	0	1.2263
48	microwave radiometer	0	1.2263
49	monthly salinity	0	1.2263
50	mooring sites	0	1.2263
51	onboard aqua	0	1.2263
52	reference publication	0	1.2263
53	salinity field	0	1.2263
54	satellite-tracked drifter	0	1.2263
55	satellite-tracked drifters	0	1.2263
56	sea-ice drift	0	1.2263
57	seasonnal spans	0	1.2263
58	small icebergs	0	1.2263
59	spaceborne altimeters	0	1.2263
60	ssalto duacs	0	1.2263
61	tropical oceans	0	1.2263
62	validation procedures	0	1.2263
63	winter time	0	1.2263
64	sea ice	1	1.2253
65	measurements	1	1.2218
66	latitude	1	1.2043
67	camp	1	1.2003
68	psb	1	1.2003
69	campaign	0	1.1859
70	ekman	0	1.1859
71	estuary	1	1.1859
72	carbon stocks	0	1.1694
73	argo	0	1.1618
74	analysis	1	1.1467
75	field	1	1.1466
76	level	1	1.1466
77	m	1	1.1466
78	bias	1	1.1337
79	contamination	1	1.1337
80	land-sea	0	1.1337
81	multimission	0	1.1337
82	altimeters	0	1.1336
83	compilation	0	1.1336
84	database	1	1.1336
85	details	1	1.1336
86	drift	0	1.1336
87	pirata	1	1.1336
88	triton	1	1.1336
89	winter	1	1.1336
90	temperature	1	1.107
91	acquisition system	0	1.1017
92	geostrophic shear	0	1.1017
93	sadcp data	0	1.1017
94	vertical grid	0	1.1017
95	radar freeboard	0	1.1016
96	altimeter	1	1.0943
97	near-surface	0	1.0943
98	october	0	1.0943
99	orbits	1	1.0943
100	tao	1	1.0943
101	validation	1	1.0943
102	version	1	1.0943
103	window	1	1.0943
104	stocks	0	1.091
105	grid	1	1.0767
106	salinity data	0	1.0681
107	arctic	1	1.0446
108	temperature sections	0	1.0318
109	variables	1	1.0295
110	phytoplankton	1	1.0036
111	10-m	0	1.0
112	3km	0	1.0
113	acquisition	1	1.0
114	adcp	0	1.0
115	april	1	1.0
116	aqua	0	1.0
117	calls	0	1.0
118	characteristics	1	1.0
119	day	1	1.0
120	days	1	1.0
121	drifter	0	1.0
122	drifters	0	1.0
123	drogues	0	1.0
124	duacs	0	1.0
125	files	1	1.0
126	float	1	1.0
127	icebergs	1	1.0
128	jasadcp	0	1.0
129	l2q	0	1.0
130	length	1	1.0
131	map	1	1.0
132	microwave	1	1.0
133	mooring	0	1.0
134	n–30	0	1.0
135	observation	1	1.0
136	oceans	1	1.0
137	procedures	1	1.0
138	publication	1	1.0
139	radiometer	1	1.0
140	sadcp	0	1.0
141	samples	0	1.0
142	sea-ice	0	1.0
143	shear	1	1.0
144	shipboard	0	1.0
145	sites	1	1.0
146	spans	0	1.0
147	ssalto	0	1.0
148	today	1	1.0
149	tracks	1	1.0
150	trajectories	0	1.0
151	velocity	1	1.0
152	ku	1	0.9999
153	radar	1	0.9999
154	sd	1	0.9999
155	snow	1	0.9999
156	thickness	1	0.9999
157	complementary hydrocasts	0	0.9909
158	ctd data	0	0.9909
159	pacific ocean	1	0.9909
160	pirata moorings	0	0.9909
161	triton moorings	0	0.9909
162	data	1	0.9694
163	argo profilers	0	0.9663
164	atlantic ocean	1	0.9663
165	error fields	0	0.9663
166	objective mapping	0	0.9663
167	spatial resolution	0	0.9663
