	term	in_umls	rank
0	océan	1	1.9259
1	température	1	1.9259
2	surveillance	1	1.8896
3	flotteurs	0	1.8889
4	profils	0	1.8667
5	analyse	1	1.8571
6	informations	0	1.8462
7	lieux	0	1.8462
8	trace	0	1.8333
9	traitement	1	1.8333
10	réseau de surveillance	0	1.8182
11	résolution	0	1.8182
12	utilisateurs	0	1.8182
13	anomalies	0	1.8
14	fichiers	0	1.8
15	missions	1	1.8
16	produit	0	1.7881
17	circulation	1	1.7778
18	navires	1	1.7778
19	produits altimétriques auxiliaires	0	1.7778
20	quadrige	0	1.7778
21	tac	1	1.7778
22	habitats physiques	0	1.7759
23	suivi	1	1.7713
24	profondeur	0	1.7686
25	programmes	1	1.7504
26	gliders	0	1.75
27	littoral	0	1.75
28	résultats	0	1.75
29	échelle	1	1.75
30	suivi de l'état	0	1.7489
31	état de la végétation	0	1.7489
32	produits	0	1.7464
33	espèces	0	1.7143
34	glace de mer	0	1.7143
35	vent	1	1.7143
36	produits altimétriques	0	1.6714
37	gts	0	1.6667
38	lieu	0	1.6667
39	moose	0	1.6667
40	contamination chimique	0	1.6525
41	mode lr-rmc	0	1.6525
42	fertilisation de l'océan	0	1.6456
43	surface de la mer	0	1.6456
44	salinité	1	1.6387
45	océan austral	0	1.6315
46	systèmes	0	1.6083
47	activité	0	1.6
48	calibration	0	1.6
49	carbone	1	1.6
50	correction	1	1.6
51	déplacements en profondeur	0	1.6
52	grille	0	1.6
53	lots	0	1.6
54	marée	0	1.6
55	marégraphes	0	1.6
56	monomission	0	1.6
57	ohc	0	1.6
58	pertuis	0	1.6
59	soutien	0	1.6
60	température de surface	0	1.6
61	tests	0	1.6
62	volume d'océan	0	1.6
63	échantillons d'eau	0	1.6
64	habitats	0	1.5979
65	analyses	0	1.5968
66	réseau	1	1.5482
67	archivage	0	1.5355
68	benthos de substrats	0	1.5312
69	surveillance des récifs	0	1.5312
70	vagues	0	1.5286
71	activités humaines	1	1.5204
72	ancre flottante	0	1.5204
73	différentes échelles	0	1.5204
74	lien ci-contre	0	1.5204
75	niveau moyen	0	1.5204
76	radars hf	0	1.5204
77	station biologique	0	1.5204
